UTC 2023-10-29 02:13:02.787400,In0: -0.04	 In1: 0.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.04,0.06,0.00,0.00,200,PSI:-0.008,PSI:0.012,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.793976,In0: 0.04	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.04,0.01,0.00,0.00,142,PSI:0.008,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.799396,In0: 0.02	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.02,-0.01,0.00,0.00,200,PSI:0.004,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.804893,In0: 0.02	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.00,0.00,0.00,166,PSI:0.004,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.810884,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.01,0.00,0.00,166,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.817532,In0: 0.00	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.00,-0.02,0.00,0.00,200,PSI:0.0,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.822915,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.01,0.00,0.00,142,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.828402,In0: 0.00	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.00,-0.03,0.00,0.00,200,PSI:0.0,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.833897,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.01,0.00,0.00,166,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.839877,In0: 0.07	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.07,-0.01,0.00,0.00,166,PSI:0.014000000000000002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.846382,In0: -0.04	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.04,0.01,0.00,0.00,200,PSI:-0.008,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.852885,In0: 0.00	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.00,0.02,0.00,0.00,125,PSI:0.0,PSI:0.004,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:13:02.858438,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.01,0.00,0.00,200,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.863872,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.870429,In0: -0.02	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,0.02,0.00,0.00,166,PSI:-0.004,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.875932,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.02,0.00,0.00,166,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.881397,In0: -0.03	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.03,0.00,0.00,0.00,200,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.887352,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.01,0.00,0.00,166,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.893341,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.898840,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.02,0.00,0.00,166,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.904831,In0: 0.02	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.03,0.00,0.00,166,PSI:0.004,PSI:0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.911306,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.917885,In0: 0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.00,0.00,0.00,0.00,125,PSI:0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:13:02.924571,In0: 0.03	 In1: 0.00	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,0.03,0.00,-0.00,0.00,166,PSI:0.006,PSI:0.0,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.930298,In0: -0.02	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,-0.02,0.00,0.00,166,PSI:-0.004,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.935392,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.01,0.00,0.00,200,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.942887,In0: 0.03	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.03,0.00,0.00,0.00,142,PSI:0.006,PSI:0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:02.947410,In0: -0.05	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.05,0.01,0.00,0.00,200,PSI:-0.01,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.952919,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.958453,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.02,0.00,0.00,200,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.963912,In0: -0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.02,0.00,0.00,166,PSI:-0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:02.970480,In0: 0.01	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,-0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.976990,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.01,-0.01,0.00,0.00,125,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:13:02.982345,In0: -0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.01,0.00,0.00,0.00,200,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:02.988949,In0: 0.00	 In1: 0.02	 In0_1: 0.00	 In1_1: -0.00	 FPS: 142,0.00,0.02,0.00,-0.00,142,PSI:0.0,PSI:0.004,PSI:0.0,PSI:-0.0,PSI:28.4
UTC 2023-10-29 02:13:02.995876,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.00,0.00,0.00,142,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:13:03.001360,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:03.006884,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:03.012960,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.01,0.00,0.00,166,PSI:0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:03.018984,In0: 0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.03,0.01,0.00,0.00,200,PSI:0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:13:03.024390,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:13:03.030448,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.01,0.00,0.00,166,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
