UTC 2023-10-29 02:13:04.546947,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.548692,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.550426,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.552130,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.553850,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.555684,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.557319,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.559035,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.560747,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.562536,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.564102,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.565837,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.567572,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.569333,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.571076,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.572803,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.574591,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.576241,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.578005,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.579622,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.581414,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.583111,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.584795,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.586580,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.588323,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.590014,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.591749,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.593519,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.595181,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.596937,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.598598,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.600371,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.602176,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.603942,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.605519,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.607328,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.609016,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.610847,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.612375,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.614065,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.615892,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.617585,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.619353,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.621081,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.622813,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.624504,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.626170,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.627889,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.629538,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.631335,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.633019,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.634844,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.636527,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.638274,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.639965,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.641759,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.643421,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.645093,V:0.00	 Sampling FPS:580,0.00,580
