UTC 2023-10-29 02:07:07.232323,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.234043,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.235771,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.237508,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.239173,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.240850,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.242556,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.244350,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.245979,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.247713,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.249533,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.251278,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.253036,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.254748,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.256363,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.258106,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.259853,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.261510,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.263298,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.265014,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.266737,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.268481,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.270250,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.271986,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.273585,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:07.275336,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.277099,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.278751,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.280479,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:07.282214,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.284023,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.285694,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.287478,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.289200,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.290836,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.292650,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.294293,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.296008,V:0.60	 Sampling FPS:580,0.60,580
UTC 2023-10-29 02:07:07.297761,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.299516,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.301227,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.302947,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.304771,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.306405,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.308133,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:07.309796,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.311535,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.313273,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:07.314997,V:0.62	 Sampling FPS:580,0.62,580
