UTC 2023-10-29 02:07:09.705865,In0: -0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.00,0.01,0.00,0.00,166,PSI:-0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.712381,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.718937,In0: -0.03	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,-0.03,-0.01,0.00,0.00,125,PSI:-0.006,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:07:09.725388,In0: 0.06	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.06,0.01,0.00,0.00,166,PSI:0.012,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.732908,In0: -0.01	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 125,-0.01,0.01,-0.00,0.00,125,PSI:-0.002,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:07:09.739385,In0: 0.00	 In1: -0.06	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,0.00,-0.06,-0.00,0.00,166,PSI:0.0,PSI:-0.012,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.746368,In0: 0.01	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,-0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.751915,In0: 0.02	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.02,-0.02,0.00,0.00,142,PSI:0.004,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:07:09.757874,In0: -0.05	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.05,0.00,0.00,0.00,166,PSI:-0.01,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.765879,In0: -0.01	 In1: 0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,-0.01,0.04,0.00,0.00,125,PSI:-0.002,PSI:0.008,PSI:0.0,PSI:0.0,PSI:25.0
