UTC 2023-10-28 22:38:36.151360,In0_1: 0.01	 In1_1: 0.01	 FPS: 142,0.01,0.01,142,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.715810,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.722614,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.729557,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.736092,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,-0.00,-0.00,0.01,0.01,166,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.743030,In0: -0.00	 In1: 0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,0.00,0.01,0.01,142,PSI:-0.0,PSI:0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.749703,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.756645,In0: 0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,0.00,-0.00,0.01,0.01,142,PSI:0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.763406,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.770405,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,-0.00,-0.00,0.01,0.01,166,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.777162,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
