UTC 2023-10-06 04:48:16.266442,In0: 5.25	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,538.12,0.00,0.19,142
UTC 2023-10-06 04:48:16.273208,In0: 5.25	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,539.62,0.00,0.00,142
UTC 2023-10-06 04:48:16.280013,In0: 5.25	 In1: 538.50	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.25,538.50,0.00,-0.19,142
UTC 2023-10-06 04:48:16.286650,In0: 5.44	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.44,538.12,0.00,0.00,166
UTC 2023-10-06 04:48:16.293816,In0: 5.06	 In1: 537.56	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,537.56,0.00,-0.19,142
UTC 2023-10-06 04:48:16.300266,In0: 5.06	 In1: 537.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,537.37,0.00,0.00,142
UTC 2023-10-06 04:48:16.307102,In0: 5.06	 In1: 537.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,537.00,0.00,0.00,142
UTC 2023-10-06 04:48:16.313935,In0: 5.25	 In1: 537.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.25,537.37,0.00,0.19,166
UTC 2023-10-06 04:48:16.320642,In0: 5.06	 In1: 537.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,537.00,0.00,0.00,142
UTC 2023-10-06 04:48:16.327465,In0: 5.25	 In1: 539.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,539.44,0.00,0.00,142
UTC 2023-10-06 04:48:16.334129,In0: 5.06	 In1: 537.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,537.37,0.00,0.19,142
UTC 2023-10-06 04:48:16.340942,In0: 5.06	 In1: 537.56	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,537.56,0.00,0.19,142
UTC 2023-10-06 04:48:16.347729,In0: 4.69	 In1: 537.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.69,537.56,0.00,0.00,166
UTC 2023-10-06 04:48:16.354466,In0: 4.69	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.69,538.12,0.00,0.19,142
UTC 2023-10-06 04:48:16.361416,In0: 5.06	 In1: 538.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,538.12,0.19,0.00,142
UTC 2023-10-06 04:48:16.368081,In0: 5.06	 In1: 536.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,536.81,0.19,0.00,142
UTC 2023-10-06 04:48:16.374892,In0: 5.06	 In1: 537.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,537.94,0.00,0.00,166
