UTC 2023-10-06 04:28:45.352994,In0: 5.06	 In1: 531.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,531.94,0.19,0.00,166
UTC 2023-10-06 04:28:45.359558,In0: 4.87	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,532.12,0.00,0.00,142
UTC 2023-10-06 04:28:45.366338,In0: 5.06	 In1: 531.94	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,531.94,0.00,-0.19,142
UTC 2023-10-06 04:28:45.373194,In0: 5.06	 In1: 532.12	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,532.12,-0.19,0.00,142
UTC 2023-10-06 04:28:45.379891,In0: 5.06	 In1: 533.06	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,533.06,0.19,0.00,166
UTC 2023-10-06 04:28:45.386906,In0: 5.25	 In1: 532.87	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,532.87,-0.19,0.00,142
UTC 2023-10-06 04:28:45.393442,In0: 4.87	 In1: 529.69	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,4.87,529.69,0.19,-0.19,142
UTC 2023-10-06 04:28:45.400404,In0: 5.06	 In1: 531.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.56,0.00,0.00,142
UTC 2023-10-06 04:28:45.407016,In0: 4.87	 In1: 531.56	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,531.56,0.00,0.19,142
UTC 2023-10-06 04:28:45.413702,In0: 5.25	 In1: 532.87	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,532.87,-0.19,0.00,166
UTC 2023-10-06 04:28:45.420613,In0: 5.06	 In1: 531.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,531.94,0.19,0.00,142
UTC 2023-10-06 04:28:45.427287,In0: 5.25	 In1: 530.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,530.62,0.00,0.00,142
UTC 2023-10-06 04:28:45.434067,In0: 5.06	 In1: 531.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.19,0.00,0.00,142
UTC 2023-10-06 04:28:45.440926,In0: 5.06	 In1: 532.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,532.87,0.00,0.00,166
UTC 2023-10-06 04:28:45.447665,In0: 5.06	 In1: 531.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.94,0.00,0.00,142
UTC 2023-10-06 04:28:45.454650,In0: 5.06	 In1: 532.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.87,0.00,0.00,142
UTC 2023-10-06 04:28:45.461213,In0: 5.06	 In1: 532.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.50,0.00,0.00,142
UTC 2023-10-06 04:28:45.467987,In0: 5.06	 In1: 531.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.00,0.00,0.00,142
UTC 2023-10-06 04:28:45.474784,In0: 4.87	 In1: 534.19	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,4.87,534.19,-0.19,0.00,166
UTC 2023-10-06 04:28:45.481518,In0: 5.25	 In1: 531.94	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,531.94,0.00,0.19,142
UTC 2023-10-06 04:28:45.488410,In0: 5.06	 In1: 532.87	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,532.87,0.00,-0.19,142
UTC 2023-10-06 04:28:45.495133,In0: 4.87	 In1: 531.00	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,4.87,531.00,0.19,-0.19,142
UTC 2023-10-06 04:28:45.501881,In0: 5.06	 In1: 532.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,532.69,0.00,0.00,166
UTC 2023-10-06 04:28:45.508712,In0: 5.06	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.12,0.00,0.00,142
UTC 2023-10-06 04:28:45.515475,In0: 5.06	 In1: 532.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.31,0.00,0.00,142
UTC 2023-10-06 04:28:45.522410,In0: 5.06	 In1: 532.31	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,532.31,0.00,0.19,142
UTC 2023-10-06 04:28:45.528994,In0: 5.25	 In1: 530.06	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,530.06,0.00,0.19,142
UTC 2023-10-06 04:28:45.535843,In0: 5.25	 In1: 530.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,530.25,0.00,0.00,166
UTC 2023-10-06 04:28:45.542635,In0: 5.06	 In1: 533.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,533.62,0.00,0.00,142
UTC 2023-10-06 04:28:45.549368,In0: 5.06	 In1: 533.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,533.81,0.00,0.00,142
UTC 2023-10-06 04:28:45.556195,In0: 5.06	 In1: 532.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.87,0.00,0.00,142
UTC 2023-10-06 04:28:45.562986,In0: 5.06	 In1: 530.81	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.06,530.81,0.00,-0.19,166
