UTC 2023-10-06 04:30:21.715479,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715512,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715546,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715594,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.715628,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715662,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715696,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715733,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715770,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715824,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.715860,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715895,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715929,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715962,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.715997,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716046,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.716081,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716117,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716179,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716216,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716250,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716300,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.716335,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716370,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716404,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716438,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716471,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716525,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.716559,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716594,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716627,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716661,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716694,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716744,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.716778,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716811,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716850,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716885,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716919,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.716971,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.717006,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717040,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717090,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717125,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717160,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717215,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.717251,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717285,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717320,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717355,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717388,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717437,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.717472,Raw mV:0.00,0
