UTC 2023-10-06 04:52:11.491395,In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.00,142
UTC 2023-10-06 04:52:12.040496,In0: 5.06	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,535.12,0.00,0.00,166
UTC 2023-10-06 04:52:12.047386,In0: 4.87	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,535.31,0.00,0.00,142
UTC 2023-10-06 04:52:12.054103,In0: 4.87	 In1: 534.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,534.19,0.00,0.00,142
UTC 2023-10-06 04:52:12.060904,In0: 4.87	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,535.12,0.00,0.00,142
UTC 2023-10-06 04:52:12.067597,In0: 5.06	 In1: 536.06	 In0_1: 0.19	 In1_1: 0.19	 FPS: 166,5.06,536.06,0.19,0.19,166
UTC 2023-10-06 04:52:12.074395,In0: 4.87	 In1: 534.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,534.37,0.00,0.00,142
UTC 2023-10-06 04:52:12.081284,In0: 4.87	 In1: 535.87	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,535.87,0.00,0.19,142
UTC 2023-10-06 04:52:12.087861,In0: 5.25	 In1: 534.19	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,534.19,0.00,0.19,142
UTC 2023-10-06 04:52:12.094958,In0: 5.25	 In1: 535.50	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.25,535.50,0.19,0.19,142
UTC 2023-10-06 04:52:12.101449,In0: 5.06	 In1: 534.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,534.75,0.00,0.00,166
UTC 2023-10-06 04:52:12.108476,In0: 5.25	 In1: 534.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,534.94,0.00,0.00,142
UTC 2023-10-06 04:52:12.115120,In0: 5.06	 In1: 534.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,534.37,0.00,0.00,142
UTC 2023-10-06 04:52:12.121753,In0: 4.87	 In1: 535.12	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,4.87,535.12,-0.19,0.00,142
UTC 2023-10-06 04:52:12.128675,In0: 4.87	 In1: 535.69	 In0_1: -0.19	 In1_1: -0.19	 FPS: 166,4.87,535.69,-0.19,-0.19,166
UTC 2023-10-06 04:52:12.135346,In0: 4.87	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,535.31,0.00,0.00,166
UTC 2023-10-06 04:52:12.142293,In0: 4.87	 In1: 536.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,536.44,0.00,0.00,142
UTC 2023-10-06 04:52:12.149044,In0: 5.25	 In1: 535.69	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.25,535.69,0.19,-0.19,142
UTC 2023-10-06 04:52:12.155772,In0: 5.25	 In1: 534.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,534.75,0.19,0.00,142
UTC 2023-10-06 04:52:12.162693,In0: 5.06	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.06,535.31,0.00,0.19,166
UTC 2023-10-06 04:52:12.169299,In0: 5.25	 In1: 536.44	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,536.44,0.19,0.00,142
UTC 2023-10-06 04:52:12.176372,In0: 4.87	 In1: 534.37	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,534.37,0.00,-0.19,142
UTC 2023-10-06 04:52:12.182828,In0: 5.06	 In1: 535.50	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,535.50,0.00,0.19,142
