UTC 2023-10-29 02:09:46.707227,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.708834,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.710573,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.712340,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.714023,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.715814,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.717470,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.719283,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.721001,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.722655,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.724404,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.726179,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.727845,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.729622,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.731280,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.733158,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.734746,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.736406,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.738184,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.739931,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.741704,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.743368,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.745132,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.746856,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.748676,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.750232,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.752061,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.753796,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.755554,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.757204,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.758948,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.760664,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.762301,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.764062,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.765804,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.767597,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.769232,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.770981,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.772720,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.774440,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.776157,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.777884,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.779608,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.781429,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.783062,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.784721,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.786460,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.788162,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.789888,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.791631,V:0.23	 Sampling FPS:580,0.23,580
