UTC 2023-10-29 02:09:44.395686,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.01,0.00,0.00,200,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.401203,In0: -0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,0.01,0.00,0.00,166,PSI:-0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.407164,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.02,0.00,0.00,166,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.413671,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.02,0.00,0.00,200,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.420137,In0: 0.01	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.01,-0.00,0.00,0.00,125,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:09:44.425766,In0: -0.03	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.03,-0.01,0.00,0.00,200,PSI:-0.006,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.431160,In0: 0.01	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.03,0.00,0.00,166,PSI:0.002,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.437227,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.442705,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.449196,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.01,0.00,0.00,142,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:09:44.454699,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.461212,In0: 0.01	 In1: -0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,-0.00,0.00,0.00,142,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:09:44.467661,In0: 0.05	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.05,0.01,0.00,0.00,166,PSI:0.01,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.473187,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.01,0.00,0.00,166,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.479714,In0: -0.02	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.02,0.05,0.00,0.00,166,PSI:-0.004,PSI:0.01,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.485239,In0: -0.05	 In1: -0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.05,-0.04,0.00,0.00,166,PSI:-0.01,PSI:-0.008,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.491646,In0: 0.04	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.04,-0.01,0.00,0.00,166,PSI:0.008,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.497209,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.503216,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.02,0.00,0.00,166,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.508690,In0: -0.02	 In1: 0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.02,0.04,0.00,0.00,200,PSI:-0.004,PSI:0.008,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.514692,In0: 0.10	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.10,-0.01,0.00,0.00,166,PSI:0.02,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.520228,In0: 0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.00,0.00,0.00,166,PSI:0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.526132,In0: -0.03	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.03,0.02,0.00,0.00,166,PSI:-0.006,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.531638,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.538158,In0: -0.04	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.04,0.01,0.00,0.00,142,PSI:-0.008,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:09:44.544690,In0: -0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.03,0.01,0.00,0.00,166,PSI:-0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.550177,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.02,0.00,0.00,166,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.555687,In0: 0.02	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.02,-0.02,0.00,0.00,200,PSI:0.004,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.561205,In0: 0.01	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.03,0.00,0.00,166,PSI:0.002,PSI:0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.566693,In0: -0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.02,0.01,0.00,0.00,200,PSI:-0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.573759,In0: -0.01	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.01,-0.00,0.00,166,PSI:-0.002,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.579155,In0: 0.01	 In1: 0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.04,0.00,0.00,142,PSI:0.002,PSI:0.008,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:09:44.585149,In0: 0.02	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,-0.01,0.00,0.00,166,PSI:0.004,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.591784,In0: -0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.03,0.01,0.00,0.00,200,PSI:-0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.597171,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.01,0.00,0.00,142,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:09:44.603674,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.609209,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.614646,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.02,0.00,0.00,200,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:09:44.621151,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.00,0.00,0.00,142,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:09:44.627161,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.01,0.00,0.00,166,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:09:44.634870,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,-0.02,0.00,0.00,142,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:28.4
