UTC 2023-10-06 01:06:27.135757,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.135877,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.135996,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.136123,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.136244,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.136364,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.136484,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.136610,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.136731,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.136853,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.136978,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.137099,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.137218,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.137338,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.137464,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.137586,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.137705,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.137826,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.137956,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.138077,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.138196,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.138322,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.138515,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.138657,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.138779,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.138908,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.139029,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.139151,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.139272,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
