UTC 2023-10-06 06:22:42.088028,In0: 5.06	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.44,0.00,0.00,142,PSI:1.012,PSI:1.088,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.094900,In0: 5.44	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.44,5.44,0.00,0.00,166,PSI:1.088,PSI:1.088,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.101616,In0: 5.25	 In1: 5.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.25,0.00,0.00,142,PSI:1.05,PSI:1.05,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.108374,In0: 5.25	 In1: 5.25	 In0_1: 0.75	 In1_1: -0.19	 FPS: 142,5.25,5.25,0.75,-0.19,142,PSI:1.05,PSI:1.05,PSI:0.15,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:42.115172,In0: 5.25	 In1: 5.25	 In0_1: 0.56	 In1_1: -0.19	 FPS: 142,5.25,5.25,0.56,-0.19,142,PSI:1.05,PSI:1.05,PSI:0.11200000000000002,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:42.121915,In0: 5.06	 In1: 5.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,5.25,0.19,0.00,166,PSI:1.012,PSI:1.05,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.128752,In0: 5.06	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.06,5.44,0.37,0.00,166,PSI:1.012,PSI:1.088,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.135549,In0: 5.25	 In1: 5.25	 In0_1: 0.37	 In1_1: -0.19	 FPS: 142,5.25,5.25,0.37,-0.19,142,PSI:1.05,PSI:1.05,PSI:0.074,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:42.142327,In0: 5.25	 In1: 5.44	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,5.44,-0.19,0.00,142,PSI:1.05,PSI:1.088,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.149038,In0: 5.06	 In1: 5.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.25,0.00,0.00,142,PSI:1.012,PSI:1.05,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.155858,In0: 5.44	 In1: 5.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.44,5.25,0.19,0.00,166,PSI:1.088,PSI:1.05,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.162693,In0: 5.25	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.00,0.00,142,PSI:1.05,PSI:1.088,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.169379,In0: 5.44	 In1: 5.44	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.44,5.44,0.19,0.00,142,PSI:1.088,PSI:1.088,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.176245,In0: 5.06	 In1: 5.62	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,5.62,0.37,0.00,142,PSI:1.012,PSI:1.124,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.182974,In0: 5.25	 In1: 5.44	 In0_1: 0.56	 In1_1: 0.00	 FPS: 166,5.25,5.44,0.56,0.00,166,PSI:1.05,PSI:1.088,PSI:0.11200000000000002,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.189789,In0: 5.25	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,5.44,0.00,0.00,166,PSI:1.05,PSI:1.088,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.196489,In0: 5.25	 In1: 5.44	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.25,5.44,-0.19,-0.19,142,PSI:1.05,PSI:1.088,PSI:-0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:42.203291,In0: 5.06	 In1: 5.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.25,0.00,0.00,142,PSI:1.012,PSI:1.05,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.210053,In0: 5.06	 In1: 5.25	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.06,5.25,0.19,-0.19,142,PSI:1.012,PSI:1.05,PSI:0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:42.216907,In0: 5.06	 In1: 5.44	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,5.44,0.19,0.00,166,PSI:1.012,PSI:1.088,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.223611,In0: 5.06	 In1: 5.25	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.06,5.25,0.37,0.19,142,PSI:1.012,PSI:1.05,PSI:0.074,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:22:42.230411,In0: 5.25	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.37,0.00,142,PSI:1.05,PSI:1.088,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.237151,In0: 5.25	 In1: 5.44	 In0_1: 0.37	 In1_1: -0.19	 FPS: 142,5.25,5.44,0.37,-0.19,142,PSI:1.05,PSI:1.088,PSI:0.074,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:42.244381,In0: 5.25	 In1: 5.44	 In0_1: -0.19	 In1_1: 0.19	 FPS: 166,5.25,5.44,-0.19,0.19,166,PSI:1.05,PSI:1.088,PSI:-0.038,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:22:42.250724,In0: 5.06	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.06,5.44,0.37,0.00,166,PSI:1.012,PSI:1.088,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.257515,In0: 5.25	 In1: 5.62	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.25,5.62,0.56,0.00,142,PSI:1.05,PSI:1.124,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.264345,In0: 5.44	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,5.81,0.00,0.00,142,PSI:1.088,PSI:1.162,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.270960,In0: 5.25	 In1: 5.25	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,5.25,0.37,0.00,142,PSI:1.05,PSI:1.05,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.278108,In0: 5.25	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,5.44,0.00,0.00,166,PSI:1.05,PSI:1.088,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.284603,In0: 5.06	 In1: 5.44	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.06,5.44,0.56,0.00,142,PSI:1.012,PSI:1.088,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.291460,In0: 4.87	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,4.87,5.44,0.37,0.00,142,PSI:0.974,PSI:1.088,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.298104,In0: 5.44	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.44,5.44,0.37,0.00,142,PSI:1.088,PSI:1.088,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.305022,In0: 4.87	 In1: 5.62	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,4.87,5.62,-0.19,0.00,166,PSI:0.974,PSI:1.124,PSI:-0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.311792,In0: 5.25	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.25,5.44,0.37,0.00,166,PSI:1.05,PSI:1.088,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.318667,In0: 5.25	 In1: 5.25	 In0_1: 0.56	 In1_1: -0.19	 FPS: 142,5.25,5.25,0.56,-0.19,142,PSI:1.05,PSI:1.05,PSI:0.11200000000000002,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:42.325351,In0: 5.25	 In1: 5.62	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,5.62,0.37,0.00,142,PSI:1.05,PSI:1.124,PSI:0.074,PSI:0.0,PSI:28.4
