UTC 2023-10-06 06:15:19.251133,In0_1: 0.19	 In1_1: -0.19	 FPS: 142,0.19,-0.19,142,PSI:0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.658215,In0: 5.44	 In1: 6.00	 In0_1: 0.19	 In1_1: 0.19	 FPS: 166,5.44,6.00,0.19,0.19,166,PSI:1.088,PSI:1.2,PSI:0.038,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:15:19.665147,In0: 5.81	 In1: 5.25	 In0_1: 0.37	 In1_1: -0.19	 FPS: 142,5.81,5.25,0.37,-0.19,142,PSI:1.162,PSI:1.05,PSI:0.074,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.671975,In0: 5.81	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.81,5.62,0.00,0.00,142,PSI:1.162,PSI:1.124,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.678651,In0: 5.25	 In1: 6.00	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,6.00,0.37,0.00,142,PSI:1.05,PSI:1.2,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.685441,In0: 5.44	 In1: 6.19	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.44,6.19,0.37,0.00,166,PSI:1.088,PSI:1.238,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.692164,In0: 5.62	 In1: 6.00	 In0_1: 0.75	 In1_1: 0.00	 FPS: 142,5.62,6.00,0.75,0.00,142,PSI:1.124,PSI:1.2,PSI:0.15,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.698990,In0: 5.81	 In1: 6.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.81,6.56,0.19,0.00,142,PSI:1.162,PSI:1.3119999999999998,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.705799,In0: 5.62	 In1: 6.37	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.62,6.37,0.56,0.00,142,PSI:1.124,PSI:1.274,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.712690,In0: 5.62	 In1: 5.81	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.62,5.81,-0.19,0.00,142,PSI:1.124,PSI:1.162,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.719429,In0: 5.44	 In1: 5.81	 In0_1: 0.19	 In1_1: 0.19	 FPS: 166,5.44,5.81,0.19,0.19,166,PSI:1.088,PSI:1.162,PSI:0.038,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:15:19.726483,In0: 5.44	 In1: 5.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.44,5.81,0.19,0.00,142,PSI:1.088,PSI:1.162,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.732862,In0: 5.44	 In1: 6.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.44,6.00,0.19,0.00,142,PSI:1.088,PSI:1.2,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.739543,In0: 5.25	 In1: 5.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,5.81,0.19,0.00,142,PSI:1.05,PSI:1.162,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.746741,In0: 5.62	 In1: 6.37	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.62,6.37,0.37,0.00,166,PSI:1.124,PSI:1.274,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.753057,In0: 5.25	 In1: 6.94	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,6.94,0.37,0.00,142,PSI:1.05,PSI:1.3880000000000001,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.760288,In0: 5.44	 In1: 6.37	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.44,6.37,0.56,0.00,142,PSI:1.088,PSI:1.274,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.766684,In0: 5.62	 In1: 5.81	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.62,5.81,0.19,0.19,142,PSI:1.124,PSI:1.162,PSI:0.038,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:15:19.773432,In0: 5.06	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,5.62,0.19,0.00,142,PSI:1.012,PSI:1.124,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.780612,In0: 5.62	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.62,6.00,0.00,0.00,166,PSI:1.124,PSI:1.2,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.786922,In0: 5.81	 In1: 6.37	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.81,6.37,0.37,0.00,142,PSI:1.162,PSI:1.274,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.794048,In0: 6.56	 In1: 5.62	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,6.56,5.62,0.37,0.00,142,PSI:1.3119999999999998,PSI:1.124,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.800592,In0: 5.62	 In1: 6.00	 In0_1: 0.37	 In1_1: -0.19	 FPS: 142,5.62,6.00,0.37,-0.19,142,PSI:1.124,PSI:1.2,PSI:0.074,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.807282,In0: 5.25	 In1: 5.81	 In0_1: 0.19	 In1_1: -0.19	 FPS: 166,5.25,5.81,0.19,-0.19,166,PSI:1.05,PSI:1.162,PSI:0.038,PSI:-0.038,PSI:33.2
UTC 2023-10-06 06:15:19.814011,In0: 5.44	 In1: 5.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.44,5.81,0.19,0.00,166,PSI:1.088,PSI:1.162,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.820726,In0: 5.44	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,5.81,0.00,0.00,142,PSI:1.088,PSI:1.162,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.827693,In0: 5.44	 In1: 6.00	 In0_1: 0.75	 In1_1: 0.00	 FPS: 142,5.44,6.00,0.75,0.00,142,PSI:1.088,PSI:1.2,PSI:0.15,PSI:0.0,PSI:28.4
