UTC 2023-10-29 01:48:52.580775,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.02,0.00,0.00,166,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.587775,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,-0.01,0.00,0.00,142,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:48:52.593169,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.598696,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.603856,In0: 0.07	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.07,-0.01,0.00,0.00,200,PSI:0.014000000000000002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.609322,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.615268,In0: 0.01	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.05,0.00,0.00,166,PSI:0.002,PSI:0.01,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.621768,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.628296,In0: -0.04	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,-0.04,0.01,0.00,0.00,125,PSI:-0.008,PSI:0.002,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 01:48:52.633795,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.00,0.01,0.00,0.00,200,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.639782,In0: 0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.00,0.00,0.00,166,PSI:0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.645778,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.652271,In0: 0.00	 In1: 0.04	 In0_1: -0.00	 In1_1: 0.00	 FPS: 142,0.00,0.04,-0.00,0.00,142,PSI:0.0,PSI:0.008,PSI:-0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:48:52.658792,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.665268,In0: 0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.03,0.01,0.00,0.00,125,PSI:0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 01:48:52.670758,In0: -0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.03,0.01,0.00,0.00,200,PSI:-0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.676290,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.682779,In0: 0.03	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.03,0.01,0.00,0.00,166,PSI:0.006,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.688296,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.01,0.00,0.00,166,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.694769,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.700276,In0: -0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,-0.01,0.00,0.00,166,PSI:-0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.705764,In0: 0.00	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 200,0.00,0.01,-0.00,0.00,200,PSI:0.0,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.711284,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.01,0.00,0.00,166,PSI:0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.717269,In0: -0.04	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.04,-0.03,0.00,0.00,166,PSI:-0.008,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.723777,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.00,0.01,0.00,0.00,200,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.730264,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.01,0.00,0.00,0.00,125,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 01:48:52.736778,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.00,0.00,0.00,166,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.742321,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,0.01,0.00,0.00,166,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.748855,In0: 0.05	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.05,0.01,0.00,0.00,200,PSI:0.01,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
